stock1,stock2,model_type,w1,w2,pval,snr,zcr,mu,stdev,skewness,Emu,Estd
2317,2382,model3,-0.533052166796981,0.46694783320301897,0.20343281354692305,0.5670499331199889,0.13921333333333322,-0.4363898340896598,0.0008317351433897437,0.7946432244440585,-0.4363578785235645,0.0008255614023273995
2317,4904,model3,-0.17017886712696534,0.8298211328730346,0.13636827408363494,0.7732408560171421,0.11629333333333333,2.7744585338428283,0.00046701884358720723,-0.24152274185499525,2.774499388249533,0.0004627460836382171
2317,2049,model3,-0.59867860285101,0.40132139714898996,0.09775460436257624,0.2397741101715637,0.046453333333333215,-0.625954823913386,0.0015785089195444225,0.29445884323082466,-0.6260749669575755,0.001596331323150499
2317,3034,model3,-0.5363900671210241,0.4636099328789758,0.1872925594913985,0.3920776946268241,0.03795999999999991,-0.04735839935015693,0.0012632354348640347,-0.274133499162973,-0.04733761186421934,0.001258168631404466
2317,3037,model3,-0.4814802019851759,0.5185197980148242,0.009865252995581792,0.06906821109231276,0.034933333333333226,-0.6428125271078714,0.003084927622745332,0.9913940753335706,-0.6439536639175701,0.002396921549002191
2325,2357,model3,-0.782631708804477,0.217368291195523,0.18730665997772827,0.38515403368147466,0.10924000000000017,-1.8721259626385325,0.001138259108535058,0.2294040776298403,-1.8720324300858637,0.0011187899593186768
2325,2880,model3,-0.6128666596215501,0.3871333403784499,0.03942930585978556,0.5934200461089979,0.12758666666666668,-1.3635020005915957,0.0010341492020964943,-0.4285838155239532,-1.3634444126624239,0.001011492716593102
2325,2881,model3,-0.7892255372203386,0.2107744627796614,0.1842774545195444,0.3258910836611812,0.07870666666666674,-2.3472390705553767,0.0012119925157547337,0.04055240013823953,-2.3471023509265763,0.0011992064867208095
2325,2892,model3,-0.6589248895011096,0.3410751104988904,0.1484757460705495,0.5984442289767423,0.11603999999999995,-1.6688404431284731,0.0010752402083428283,-0.4670484581730328,-1.6687331589127405,0.0010248932806090412
2325,6505,model3,-0.7796559865455347,0.2203440134544654,0.2417464701566351,0.3959717140322021,0.10824,-2.106305633197785,0.0011440443630173845,0.2443762038983208,-2.1061329770421167,0.0011131826158653378
